State Name,State Code,City Code,City Name,County Code,County Name
MISSISSIPPI,28,0745,EASTABUCHIE,067,JONES
NEW JERSEY,34,0745,DENVILLE,027,MORRIS
NEW MEXICO,35,0745,SHIPROCK,045,SAN JUAN
OREGON,41,0745,EAST GARDINER,019,DOUGLAS
SOUTH DAKOTA,46,0745,DEERFIELD DAM,103,PENNINGTON
VERMONT,50,0745,WEST WARDSBORO,025,WINDHAM
WYOMING,56,0745,SEMINOE DAM,007,CARBON
NEW MEXICO,35,0744,SHADY BROOK,055,TAOS
VIRGINIA,51,0744,DEWITT,053,DINWIDDIE
WISCONSIN,55,0744,BURKHARDT,109,ST. CROIX
ALABAMA,01,0743,COKER,125,TUSCALOOSA
ARKANSAS,05,0743,CENTERVILLE,149,YELL
CALIFORNIA,06,0743,CLYDE,013,CONTRA COSTA
NEW MEXICO,35,0743,SEAMA,006,CIBOLA
FLORIDA,12,0742,CYPRESS GARDENS,105,POLK
NEW JERSEY,34,0742,DENNISVILLE,009,CAPE MAY
NEW MEXICO,35,0742,SAN YSIDRO,043,SANDOVAL
VERMONT,50,0742,WEST TOPSHAM,017,ORANGE
WYOMING,56,0742,SAVERY,007,CARBON
ALABAMA,01,0740,COFFEEVILLE,025,CLARKE
ARKANSAS,05,0740,CENTERTON,007,BENTON
CALIFORNIA,06,0740,CLOVIS,019,FRESNO
COLORADO,08,0740,ENGLEWOOD,005,ARAPAHOE
CONNECTICUT,09,0740,THOMASTON,005,LITCHFIELD
FLORIDA,12,0740,CYPRESS,063,JACKSON
GEORGIA,13,0740,BROOKS,113,FAYETTE
IDAHO,16,0740,HOMEDALE,073,OWYHEE
ILLINOIS,17,0740,BENSENVILLE,031,COOK
ILLINOIS,17,0740,BENSENVILLE,043,DUPAGE
INDIANA,18,0740,CAYUGA,165,VERMILLION
IOWA,19,0740,BENNETT,031,CEDAR
KANSAS,20,0740,BUSHTON,159,RICE
KENTUCKY,21,0740,COLUMBIA,001,ADAIR
LOUISIANA,22,0740,FARMERVILLE,111,UNION
MARYLAND,24,0740,HALFWAY,043,WASHINGTON
MASSACHUSETTS,25,0740,MELROSE HIGHLANDS,017,MIDDLESEX
MICHIGAN,26,0740,CAPAC,147,ST. CLAIR
MINNESOTA,27,0740,BOYD,073,LAC QUI PARLE
MISSISSIPPI,28,0740,DURANT,051,HOLMES
MISSOURI,29,0740,BIRCH TREE,203,SHANNON
MONTANA,30,0740,LIMA,001,BEAVERHEAD
NEBRASKA,31,0740,BRULE,101,KEITH
NEW JERSEY,34,0740,DEMAREST,003,BERGEN
NEW MEXICO,35,0740,SANTO DOMINGO PUEBLO,043,SANDOVAL
NEW YORK,36,0740,BUCHANAN,119,WESTCHESTER
NORTH CAROLINA,37,0740,CANDOR,123,MONTGOMERY
NORTH DAKOTA,38,0740,DAWSON,043,KIDDER
OHIO,39,0740,BERLIN HEIGHTS,043,ERIE
OKLAHOMA,40,0740,CAMARGO,043,DEWEY
OREGON,41,0740,GARDEN HOME,067,WASHINGTON
PENNSYLVANIA,42,0740,BLOOMSBURG,037,COLUMBIA
SOUTH DAKOTA,46,0740,DEADWOOD,081,LAWRENCE
TENNESSEE,47,0740,EAST CLEVELAND,011,BRADLEY
TEXAS,48,0740,BOERNE,259,KENDALL
UTAH,49,0740,HUNTINGTON,015,EMERY
VERMONT,50,0740,WEST RUTLAND,021,RUTLAND
